	Álbum	Ano	Música	Corpus
20	Emotion	2015	When I Needed You	What if we could go back? We could take the words back You could take my love back And brush my hair behind my ear I don't know what you wanted I tried to be so perfect I thought that it was worth it To let myself just disappear You come to me in dreams at night (You come to me in dreams at night) I wake up and I see the light Sometimes I wish that I could change But not for me, for you So we could be together forever But I know, I know that I won't change for you 'Cause where were you for me when I needed someone? When I needed someone When I needed you, hey When I needed you, hey Once upon a time, I thought you were the hero I waited for you all night I closed my eyes and slept for years You kissed me like a sunrise My feet up to my forehead I felt it like a goodbye I'm not myself Sometimes I wish that I could change But not for me, for you So we could be together forever But I know, I know that I won't change for you 'Cause where were you for me when I needed someone? When I needed someone When I needed you, hey When I needed you, hey You come to me in dreams at night You come to me in dreams at night I don't want to work it out I'm not going to work it out I don't want to work it out No, I'm not going to, still... Sometimes I wish that I could change But not for me, for you So we could be together forever But I know, I know that I won't change for you 'Cause where were you for me When I needed someone when I needed someone? When I needed, hey When I needed, hey When I needed you, hey When I needed you, hey When I needed you, hey Hey, when I needed you...
21	Emotion	2015	Warm Blood	I've got a cavern of secrets None of them are for you Even if you wanted to keep them Where would you find the room? Let down my guard tonight I just don't care anymore And I've told a hundred lies But I don't wanna tell you any at all And I can not control it The way you're making me feel And you have got me going Spinning in circles 'round your warm blood Warm blood feels good I can't control it anymore Sweet one, you should stop me there, but I keep on talking I would throw in the towel for you, boy 'Cause you lift me up and catch me when I'm falling for you I saw myself tonight Caught my reflection in the mirror My hands and heart were tied But I was scared of almost nothing at all And I can not control it The way you're making me feel And you have got me going Spinning in circles 'round your warm blood Warm blood feels good I can't control it anymore Sweet one, you should stop me there, but I keep on talking I would throw in the towel for you, boy 'Cause you lift me up and catch me when I'm falling for you Warm blood, underneath my skin Warm blood, my heart is pumping Warm blood, underneath my skin Warm blood, my heart is pumping Warm blood feels good I can't control it anymore Sweet one, you should stop me there, but I keep on talking I would throw in the towel for you, boy 'Cause you lift me up and catch me when I'm falling for you You catch me when I'm falling for you You catch me when I'm falling Warm blood feels good I can't control it anymore Sweet one, you should stop me there, but I keep on talking I would throw in the towel for you, boy 'Cause you lift me up and catch me when I'm falling for you Warm blood, underneath my skin Warm blood, my heart is pumping Warm blood, underneath my skin Warm blood, my heart is pumping
22	Emotion	2015	Making The Most Of The Night	You and me We been hanging around for the longest time I know when you're down Know what you need to get you high Top down Like the wind through your hair on a summer's night Outside All of your fears, leaving them behind Here I come now Baby, I'm speeding and red lights, I'll run What I got, you need it And I'll run to your side when your heart is bleeding I'm coming to getcha, to getcha, to getcha, ooh I know you've had a rough time But here I come to hijack you, hijack you I'll love you while Making the most of the night I know you've had a rough time But here I come I'mma hijack you, hijack you I'll love you while We're making the most of the night I know you've had a rough time But here I come to hijack you, hijack you I'll love you while Making the most of the night I know you've had a rough time But here I come I'mma hijack you, hijack you I'll love you while We're making the most of the night Your eyes wide Like you never seen the ocean, never seen the tides No hope Now you're seeing things that you'd lost sight of Taking off Got your hands in the air, and you're feeling alright Gold mines glisten on the skin for you and I Here I come now Baby, I'm speeding and red lights, I'll run What I got, you need it And I'll run to your side when your heart is bleeding I'm coming to getcha, to getcha, to getcha, ooh I know you've had a rough time But here I come to hijack you, hijack you I'll love you while Making the most of the night I know you've had a rough time But here I come I'mma hijack you, hijack you I'll love you while We're making the most of the night I know you've had a rough time But here I come to hijack you, hijack you I'll love you while Making the most of the night I know you've had a rough time But here I come I'mma hijack you, hijack you I'll love you while We're making the most of the night Now baby, take my hand now, don't you cry I won't let you stay here, I won't let you hide No more tears, don't waste another day Another day Go on and fight, don't lay down to die Come on get up, you'll make it through okay Come on get up, don't waste another day I know you've had a rough time But here I come to hijack you, hijack you I'll love you while Making the most of the night I know you've had a rough time But here I come I'mma hijack you, hijack you I'll love you while We're making the most of the night I know you've had a rough time But here I come to hijack you, hijack you I'll love you while Making the most of the night I know you've had a rough time But here I come I'mma hijack you, hijack you I'll love you while We're making the most of the night We're making the most of the night We're making the most of the night
23	Emotion	2015	Boy Problems	"""If you're gonna go then go"" She said to me on the phone ""So tired of hearin' all your boy problems If you're gonna stay then stay He's not gonna change anyway So tired of hearin' all your boy problems"" And I know that she's right And I should not be offended Yeah, I know what it looks like from the outside I know that she's right And I should not be offended Yeah, I know what it looks like from the outside, from the outside Boy problems, who's got 'em? I've got 'em too Boy trouble, we've got double Don't know what to do I think I broke up with my boyfriend today and I don't really care I've got worse problems (I broke up with my boyfriend) I think I broke up with my boyfriend today and I don't really care I've got worse problems (I broke up with my boyfriend, yeah) ""Carly, you got to let it go!"" She said to me on the phone ""So tired of hearin' all your boy problems It could be the perfect day He'll just make it rain anyway So tired of hearin' all your boy problems"" And I know that she's right And I should not be offended Yeah, I know what it looks like from the outside I know that she's right And I should not be offended Yeah, I know what it looks like from the outside From the outside Boy problems, who's got 'em? I've got 'em too Boy trouble, we've got double Don't know what to do I think I broke up with my boyfriend today and I don't really care I've got worse problems (I broke up with my boyfriend) I think I broke up with my boyfriend today and I don't really care I've got worse problems (I broke up with my boyfriend, yeah) What's worse, losing a lover or losing your best friend? Oh oh oh oh oh What's worse is when you discover you're not good for each other She's been giving, you've been taking, taking, taking Boy problems, who's got 'em? I've got 'em too Boy trouble, we've got double Don't know what to do I think I broke up with my boyfriend today and I don't really care I've got worse problems (I broke up with my boyfriend) I think I broke up with my boyfriend today and I don't really care I've got worse problems (I broke up with my boyfriend, yeah) Boy problems, who's got 'em? I've got 'em too Boy trouble, we've got double Don't know what to do Boy problems, who's got 'em? I've got 'em too Boy trouble, we've got double Don't know what to do Boy problems, who's got 'em? I've got 'em too"
24	Emotion	2015	Black Heart	I don't care 'bout your good intentions I care more 'bout your bad dreams I wanna love on a new dimension You know I'm gonna be Under the blossom tree (Come a little closer, won't you come a little closer to me?) You're my miracle, oh-oh-oh Under the blossom tree (Come a little closer, won't you come a little closer to me?) 'Cause you're my miracle, oh-oh-oh-oh-oh-oh In your black heart is where you'll find me Cutting through the cracks of the concrete In your black heart is where you'll find me waiting You think love is a destination Like a show on your TV You're a cry to your generation But don't you cry to me Under the blossom tree (Come a little closer, won't you come a little closer to me?) You're my miracle, oh-oh-oh Under the blossom tree (Come a little closer, won't you come a little closer to me?) You're my miracle In your black heart is where you'll find me Cutting through the cracks of the concrete In your black heart is where you'll find me waiting In your black heart is where you'll find me Cutting through the cracks of the concrete In your black heart is where you'll find me waiting Everything you ever wanted Now it's happening, now it's happening (black heart) Everything you ever wanted Now it's happening, under the blossom tree (black heart) Everything you ever wanted Now it's happening, now it's happening (black heart) Everything you ever wanted Now it's happening, under the blossom tree (black heart)
25	Emotion	2015	Favourite Colour	Hold on now This is getting kinda serious This is getting kinda out of control Out of control Slow down now Breathing heavy, when it's just a kiss This is getting kinda out of my hands Out of my hands Please don't go, look real close Eyes that show kaleidoscopes When I'm close to you We blend into my favourite colour I'm bright baby blue falling into you Falling for each other When I'm close to you We blend into my favourite colour I'm bright baby blue falling into you Falling for each other Should I stay? Making love until the morning light Making out like it's the end of the world And I really wanna get it right But it's getting hard to slow down Got me feeling like it's real for sure This is getting kinda out of my head I'm out of my head When I'm close to you We blend into my favourite colour I'm bright baby blue falling into you Falling for each other When I'm close to you We blend into my favourite colour I'm bright baby blue falling into you Falling for each other Paint me up, me up, me up You're my favourite colour Paint me up, me up, me up You're my favourite colour Paint me up, me up, me up You're my favourite colour Paint me up, me up, me up Please don't go, look real close (Paint me up, me up, me up) Eyes that show kaleidoscopes (Paint me up, me up, me up) When I'm close to you We blend into my favourite colour I'm bright baby blue falling into you Falling for each other When I'm close to you We blend into my favourite colour I'm bright baby blue falling into you Falling for each other Paint me up, me up, me up You're my favourite colour Paint me up, me up, me up You're my favourite colour Paint me up, me up, me up You're my favourite colour Paint me up, me up, me up You're my favourite colour
26	Emotion	2015	Love Again	Open up your heart to the ceiling Don't you know it hurts for a reason Time will take you back to believing You'll learn to love again You'll learn to love again Stars, won't you shine on me Won't you dance with me Me and my baby Life, it's enough to cry It's a lot to give and it's driving me crazy I never meant to fight with you I wanted us to stay together And even though my love is true I know that we can't be together Open up your heart to the ceiling Don't you know it hurts for a reason Time will take you back to believing You'll learn to love again You'll learn to love again Somewhere out there someone is breathing Just for you their heart keeps on beating Time will take you back to believing You'll learn to love again You'll learn to love again Moon, where's the man in you Show the way to us The sky is turning black now Moon, what you trying to do It's too late for us and there's no turning back now I never meant to fight with you I wanted us to stay together And even though my love is true I know that we can't be together Open up your heart to the ceiling Don't you know it hurts for a reason Time will take you back to believing You'll learn to love again You'll learn to love again Somewhere out there someone is breathing Just for you their heart keeps on beating Time will take you back to believing You'll learn to love again You'll learn to love again You'll learn to love again You'll learn to love again Open up your heart to the ceiling Don't you know it hurts for a reason Time will take you back to believing You'll learn to love again You'll learn to love again Somewhere out there someone is breathing Just for you their heart keeps on beating Time will take you back to believing You'll learn to love again You'll learn to love again You'll learn to love again You'll learn to love again
27	Emotion	2015	I Really Like You	I really wanna stop, but I just got the taste for it I feel like I could fly with the boy on the moon So honey, hold my hand, you like making me wait for it I feel like I could die walking up to the room, oh yeah Late night watching television But how'd we get in this position? It's way too soon, I know this isn't love But I need to tell you something I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? Oh, did I say too much? I’m so in my head when we’re out of touch I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? It's like everything you say is a sweet revelation All I wanna do is get into your head Yeah, we could stay alone You and me, and this temptation Sipping on your lips, hanging on by a thread, baby Late night watching television But how'd we get in this position? It's way too soon, I know this isn't love (Love) But I need to tell you something I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? Oh, did I say too much? I’m so in my head when we’re out of touch (When we’re out of touch!) I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? Who gave you eyes like that? Said you could keep them I don’t know how to act Or if I should be leaving I’m running out of time Going out of my mind I need to tell you something Yeah, I need to tell you something Yeah! I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? I really, really, really, really, really, really like you (Oh oh oh) And I want you, do you want me, do you want me too? Oh, did I say too much? (Did I say too much?) I’m so in my head when we’re out of touch (I’m so in my head, when we’re out of touch) I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? (Yeah!) I really, really, really, really, really, really like you And I want you, do you want me, do you want me too? (Yeah, I need to tell you something) I really, really, really, really, really, really like you (Oh, yeah) And I want you, do you want me, do you want me too?
28	Emotion	2015	Emotion	Be tormented by me, babe Wonder, wonder how I do How's the weather? Am I better? Better now that there's no you? Drink tequila for me, babe Let it hit you cold and hot Let your feelings be revealing that you can't forget me Not a flower on the wall I am growing ten feet, ten feet tall In your head and I won't stop Until you forget me, get me not In your fantasy, dream about me And all that we could do with this emotion Fantasy, dream about me And all that we could do with this emotion This emotion, I feel it This emotion, you feel it All that we could do with this emotion Paint a picture for me, boy Where the sky's forever blue Tell me there is nothing I can't have and nothing you won't do Toss and turn without me, boy Let it hit you cold and hot All my kisses, say you'll miss it and you can't forget me Not a flower on the wall I am growing ten feet, ten feet tall In your head and I won't stop Until you forget me, get me not In your fantasy, dream about me And all that we could do with this emotion Fantasy, dream about me And all that we could do with this emotion This emotion, I feel it This emotion, you feel it All that we could do with this emotion What if I turn the lights right down? I feel it What if I turn the lights right down? You feel it You and me in the dark right now I feel it In your fantasy, dream about me And all that we could do with this emotion Fantasy, dream about me And all that we could do with this emotion This emotion, I feel it This emotion, you feel it All that we could do with this emotion
29	Emotion	2015	Gimmie Love	Worlds fly by Drove by your place, and stopped again tonight I know I said that I'm too scared to try But I still think about you, think about you I can't lie I like the feeling how you make me shy I'll share my secrets, and I will not hide I know that one could be two, one could be two Gimmie love Gimmie love, gimmie love, gimmie love, gimmie love Gimmie touch 'Cause I want what I want, do you think that I want too much? Gimmie love, gimmie love, gimmie love, gimmie love Fall into me and then Gimmie love Gimmie love, gimmie love, gimmie love, gimmie love Gimmie please 'Cause I want what I want, but with you it's what I need Gimmie love, gimmie love, gimmie love, gimmie love Gimmie love, gimmie love, gimmie love, gimmie love Eyes so bright You've got a hold of me the whole damn night I toss and turn, but still I can't sleep right I should've asked you to stay, begged you to stay But when I get right next to you I hear this heartbeat break in two I feel the earthquake in the room and so I pray Fall into me and then Gimmie love Gimmie love, gimmie love, gimmie love, gimmie love Gimmie touch 'Cause I want what I want, do you think that I want too much? Gimmie love, gimmie love, gimmie love, gimmie love Fall into me and then Gimmie love Gimmie love, gimmie love, gimmie love, gimmie love Gimmie please 'Cause I want what I want, but with you it's what I need Gimmie love, gimmie love, gimmie love, gimmie love Gimmie love, gimmie love, gimmie love, gimmie love Gimmie love (ooh) It's the way we are together (ooh) Wanna feel like this forever, forever (ooh) It's the way we are together And I never thought I'd ever say forever Gimmie love Gimmie love, gimmie love, gimmie love, gimmie love Gimmie touch 'Cause I want what I want, do you think that I want too much? Gimmie love, gimmie love, gimmie love, gimmie love Fall into me and then Gimmie love Gimmie love, gimmie love, gimmie love, gimmie love Gimmie please 'Cause I want what I want, but with you it's what I need Gimmie love, gimmie love, gimmie love, gimmie love Gimmie love, gimmie love, gimmie love, gimmie love
30	Emotion	2015	Let’s Get Lost	I was never one to want to Put my trust in someone else completely And I was always one to want to up and run When someone said they needed me But you... You could be the one Yeah, you could be the one Baby, let's go get lost I like that you're driving slow Keeping my fingers crossed That maybe you'll take the long way home Let's get lost I don't wanna let you go Keeping my fingers crossed That maybe you'll take the long way home Baby, let's take the long way home I was always shy and careful I was sure that you would never look at me Never wanted to discourage Everything your eyes encouraged silently But you... You could be the one Yeah, you could be the one Baby, let's go get lost I like that you're driving slow Keeping my fingers crossed That maybe you'll take the long way home Let's get lost I don't wanna let you go Keeping my fingers crossed That maybe you'll take the long way home Baby, let's take the long way home Baby, let's take the long way home Let's get lost (let's get lost) You wanna get lost? (You wanna get lost?) Let's get lost (let's get lost) I wanna get lost Baby, let's go get lost I like that you're driving slow Keeping my fingers crossed That maybe you'll take the long way home Let's get lost I don't wanna let you go Keeping my fingers crossed That maybe you'll take the long way home Baby, let's take the long way home Baby, let's take the long way home Baby, let's take the long way home
