	Álbum	Ano	Música	Corpus
10	Dedicated	2019	Real Love	The world is going crazy And it feels like I just don't know who to trust sometimes Something's coming over me, I need to get a hold of you now We're getting good at lying No one's saying what's keeping us all awake at night Something's coming over me, I need to get a hold of you now Standing here with you tonight, how do we turn on the light? I've got the feeling that the writing's on the wall And I'm so used to the lie, and you're so down to deny I've got the feeling you're the right thing after all I go everyday without it All I want is real, real love And I've been feeling weak without it Only want a real, real love I'm not even scared about it All I want is real, real love But I don't know a thing about it All I want is real, real love Real, real, real love Real, real, real love Real, real, real love All the chaos falling 'round I watch it like a movie that has come to life Something kind of numb about the way I keep on drowning it out Danger, I feel danger And I cannot find the breath to scream the words out right Every thought is paralyzing, need to find a way to you now Standing here with you tonight, how do we turn on the light? I've got the feeling that the writing's on the wall And I'm so used to the lie, you're so down to deny I've got the feeling you're the right thing after all I go everyday without it All I want is real, real love And I've been feeling weak without it Only want a real, real love I'm not even scared about it All I want is real, real love But I don't know a thing about it All I want is real, real love Real, real, real love Real, real, real love Real, real, real love I go everyday without it All I want is real, real love (Real, real, real love) And I've been feeling weak without it Only want a real, real love (Real, real, real love) I'm not even scared about it All I want is real, real love But I don't know a thing about it All I want is real, real love
11	Dedicated	2019	Happy Not Knowing	I fight, I fight All my feelings for you all night, all night Don't stare, don't stare I've got feelings for you I hide, I hide But I'll only go so far I don't have the energy To risk a broken heart When you're already killing me But if there's something between you and me Baby, I have no time for it I'm happy not knowing And please don't stir it up I'm sure it's nothing but some heartburn, baby And I'm happy not knowing All our friends that I know They've been trying to set us up together (Up together) I lie, I lie I say somebody else would suit you better (Suit you better) But I'll only go so far I don't have the energy To risk a broken heart When you're already killing me But if there's something between you and me Baby, I have no time for it I'm happy not knowing And please don't stir it up I'm sure it's nothing but some heartburn, baby And I'm happy not knowing I turn your love away 'cause I want to sleep at night It's just like my broken heart is my alibi I'm afraid, afraid, afraid, afraid of knowing What I'm knowing, what I'm knowing I'm happy not knowing But if there's something between you and me Baby, I have no time for it I'm happy not knowing And please don't stir it up I'm sure it's nothing but some heartburn, baby And I'm happy not knowing Where this goes How this goes (Happy not) If this goes (I'm happy not) Well, I'm happy not knowing Where this goes How this goes (Happy not) If this goes (I'm happy not) Well, I'm happy not knowing
12	Dedicated	2019	The Sound	(I give up, I give up I give up, I give up) I've been testing out the waters I don't think I can swim, love With the way you rock me 'round And I feel it, more than just desire I don't think I can breathe With the way you let me down God, you make me so tired Isn't this the vision that you wanted? (Isn't this the vision that you wanted?) Guess I'll never understand you now Love is more than telling me you want it (Love is more than telling me you) I don't need the words I want the sound, sound, sound, sound, sound (Sound, sound, sound, sound, sound) I don't need the words I want the sound, sound, sound, sound, sound (Sound, sound, sound, sound, sound) I don't need the words, I want the Fool's gold landed on my shoulder In the weight of your hand But you know the answer's no (Know the answer's no) And you know I'm a liar Oh, the night's my weakness I believe every word 'Cause your lips are waterfalls God, you make me so tired Isn't this the vision that you wanted? (Isn't this the vision that you wanted?) Guess I'll never understand you now Love is more than telling me you want it (Love is more than telling me you) I don't need the words I want the sound, sound, sound, sound, sound (Sound, sound, sound, sound, sound) I don't need the words I want the sound, sound, sound, sound, sound (Sound, sound, sound, sound, sound) I'm for you now, I feel my fortune tell me I'm the only one, the only one I'm for you now (Is it desire?), it's sweet until it's over I'm the only one (Is it desire?), the only one God, you make me so tired Isn't this the vision that you wanted? (Isn't this the vision that you wanted?) Guess I'll never understand you now Love is more than telling me you want it (Love is more than telling me you) I don't need the words I want the sound, sound, sound, sound, sound (Sound, sound, sound, sound, sound) I don't need the words I want the sound, sound, sound, sound, sound (Sound, sound, sound, sound, sound) I don't need the words I want the sound, sound, sound, sound, sound (I need it) (Sound, sound, sound, sound, sound) (I give up, I give up) I don't need the words I want the sound, sound, sound, sound, sound (Sound, sound, sound, sound, sound) (I give up, I give up) I don't need the words, I want the
13	Dedicated	2019	Julien	"Woke up this mornin', it feels like every day I got the blues, babe, not going away Another bad dream where you were running away I'm forever haunted by our time We had a moment, we had a summertime Asked me to leave with you, but I could never decide I've been so torn up, I've been so out of it I'm forever haunted by our time I've been all alone, on my own Every single night, I play When you coming home? Coming home? 'Cause I've been rarin' for that day Julien, in your heart, yeah, you must believe Julien, it was more than a fantasy To the end, to the last breath that I breathe I'll be whispering, ""Julien"" (Ah yeah, all night, yeah, Julien, Julien) I'll be whispering, ""Julien"" (Julien, Julien) To the last breath that I breathe (Julien) I tried another to keep me satisfied But all your colors are still dancing in my mind More than just lovers, I I'm forever haunted by our time I've been all alone, on my own Every single night, I play When you coming home? Coming home? 'Cause I've been rarin' for that day Julien, in your heart, yeah, you must believe Julien, it was more than a fantasy To the end, to the last breath that I breathe I'll be whispering, ""Julien"" (Ah yeah, all night, yeah, Julien, Julien) I'll be whispering, ""Julien"" (Julien, Julien) To the last breath that I breathe (Julien) Julien, to the last breath that I breathe Julien, it was more than a fantasy To the end, to the last breath that I breathe Julien, in your heart, yeah, you must believe Julien, it was more than a fantasy To the end, to the last breath that I breathe (Julien) I'll be whispering, ""Julien"" (Ah yeah, all night, yeah, Julien, Julien) I'll be whispering, ""Julien"" (Julien, Julien) To the last breath that I breathe (Julien) (Ah yeah, all night, yeah, Julien, Julien) (Julien, Juli—, Julien)"
14	Dedicated	2019	For sure	Six in the morning, can I hold you? Are we done talking? Do we have to? I've been thinking, we were over I've been thinking, got to know for sure I've been thinking, we were over I've been thinking, got to know for sure I've been thinking, we were over I've been thinking, got to know for sure I've been thinking, we were over I've been thinking, got to know for sure (Da-da-da-da, da-da-da-da, da-da-da-da) (Da-da-da-da, da-da-da-da, da-da-da-da) Got to know for sure (Da-da-da-da, da-da-da-da, da-da-da-da) (Da-da-da-da, da-da-da-da, da-da-da-da) Now I know what you want But it's too late (Ayy, ayy, ah) You're trying to bring me good love-loving But it won't take (Ayy, ayy, ayy, ayy) I've been thinking (I've been thinking) We were over (We were over) I've been thinking, got to know for sure I've been thinking (I've been thinking), we were over I've been thinking, got to know for sure I've been thinking, we were over I've been thinking, got to know for sure I've been thinking, we were over I've been thinking, got to know for sure (Da-da-da-da, da-da-da-da, da-da-da-da) (Da-da-da-da, da-da-da-da, da-da-da-da) Got to know for sure (Da-da-da-da, da-da-da-da, da-da-da-da) (Da-da-da-da, da-da-da-da, da-da-da-da) I've been thinking, we were over I've been thinking, got to know for sure I've been thinking, we were over I've been thinking, got to know for sure I was thinking we were over (Da-da-da-da, da-da-da-da, ah) I was thinking we were over (Da-da-da-da, da-da-da-da, da-da-da-da) I was thinking we were over (Ah) (Da-da-da-da, da-da-da-da, ayy, ayy, ah) I was thinking we were over
15	Emotion	2015	All That	I wanna play this for you all the time I wanna play this for you when you're feeling used and tired I wanna make the best so you want more Just let me in your arms Just let me in your arms I'll be the magic you won't ever see You can always rely on me to help you do what you want to do I wanna be the best you've ever known Just let me in your arms Just let me in your arms Show me if you want me, if I'm all that I will be there, I will be your friend Show me if you want me, if I'm all that I will be there, I will be your friend I'll be your lighthouse when you're lost at sea I'll keep my light on, baby You can always come to me I wanna be the place you call your home Just let me in your arms Just let me in your arms Show me if you want me, if I'm all that I will be there, I will be your friend Show me if you want me, if I'm all that I will be there, I will be your friend When you need me I will never let you come apart When you need me I will be your candle in the dark When you need someone, oh, let me be the one The only one, and the only one, and the only one Show me if you want me, if I'm all that (all that) I will be there, I will be your friend Show me if you want me, if I'm all that (all that) I will be there, I will be your friend Show me if you want me, if I'm all that (I will be there) I will be there, I will be your friend Show me if you want me, if I'm all that (I will be there) I will be there, I will be your friend (Show me if you want me) Show me if you want me, if I'm all that (And I will be your friend) I will be there, I will be your friend (Show me if you want me) Show me if you want me, if I'm all that (And I will be your friend) I will be there, I will be your friend (Show me if you want me) Show me if you want me, if I'm all that (Show me if you care) I will be there, I will be your friend (Show me if you want me - hey!) Show me if you want me, if I'm all that (Show me that you care) I will be there, I will be your friend (Show me that you care) I will be there, I will be your friend (Oh, show me that you care) I will be there, I will be your friend Just show me if you care
16	Emotion	2015	I Didn’t Just Come Here to Dance	I didn't just come here to dance If you know what I mean Do you know what I mean? If you'd just give me a chance You'd see what I see Do you see what I see? It's your fault Baby boy, cause you're the one that sparked this Shine a light With your eyes onto me in the darkness Hey, Joe's calling me over Tino is calling me over I only came here for you It's you, boy, you in the corner Something is taking me over I only came here for you I didn't just come here to dance If you know what I mean Do you know what I mean? If you just give me a chance You'd see what I see You'd see what I see I didn't just come here to dance If you know what I mean Do you know what I mean? If you just give me a chance You'd see what I see You'd see what I see I didn't just come here to dance Baby, I... I'm not going anywhere without you Walk me home Cause I like every single thing about you Hey, Joe's calling me over Tino is calling me over I only came here for you It's you, boy, you in the corner Something is taking me over I only came here for you I didn't just come here to dance If you know what I mean Do you know what I mean? If you'd just give me a chance You'd see what I see You'd see what I see I didn't just come here to dance If you know what I mean Do you know what I mean? If you'd just give me a chance You'd see what I see You'd see what I see I didn't just come here to dance Hey, Joe's calling me over Tino is calling me over I only came here for you It's you, boy, you in the corner Something is taking me over I only came here for you I didn't just come here to dance If you know what I mean Do you know what I mean? If you'd just give me a chance You'd see what I see Do you see what I see?
17	Emotion	2015	LA Hallucinations	I remember being naked We were young freaks just fresh to LA Never cared about the fake kids We would write and sing and wear whatever But money makes your whole world spin 'Til everything is dizzy, and And, suddenly... Planes, I'm hopping Cards, I'm dropping No shop can fill me up There's a little black hole in my golden cup, so You pour, and I'll say stop Planes, I'm hopping Cards, I'm dropping No shop can fill me up There's a little black hole in my golden cup, so You pour, and I'll say stop, so Take me into your arms again Shake me from L.A. hallucinations Haven't seen the boy in ages Used to stay up all night he and I Filling up each other's pages But the teeth come out when the camera flashes We said we'd always be the same But we lost each other in the game Cause suddenly... Planes, I'm hopping Cards, I'm dropping No shop can fill me up There's a little black hole in my golden cup, so You pour, and I'll say stop Planes, I'm hopping Cards, I'm dropping No shop can fill me up There's a little black hole in my golden cup, so You pour, and I'll say stop, so Take me into your arms again Shake me from L.A. hallucinations Buzzfeed buzzards, and TMZ crows What can I say that you don't already know? Buzzfeed buzzards, and TMZ crows If I just lie here, then will you let me go? Planes, I'm hopping Cards, I'm dropping No shop can fill me up There's a little black hole in my golden cup, so You pour, and I'll say stop Planes, I'm hopping Cards, I'm dropping No shop can fill me up There's a little black hole in my golden cup, so You pour, and I'll say stop, so Take me into your arms again Shake me from L.A. hallucinations Take me into your arms again (Buzzfeed buzzards and TMZ crows What can I say that you don't already know?) And shake me from L.A. hallucinations (Buzzfeed buzzards and TMZ crows If I just lie here, will you let me go?) Take me into your arms again (Buzzfeed buzzards and TMZ crows What can I say that you don't already know?) And shake me from L.A. hallucinations
18	Emotion	2015	Your Type	I used to be in love with you You used to be the first thing on my mind I know I’m just a friend to you That I will never get to call you mine But I still love you, I’m sorry, I’m sorry, I love you I didn’t mean to say what I said I miss you, I mean it, I tried not to feel it But I can’t get you out of my head And I want you to miss me when I’m not around you I know that you’re in town Oh, won't you come around to the spot that we met? I’m not the type of girl for you And I’m not going to pretend That I’m the type of girl you call more than a friend And I'd break all the rules for you Break my heart and start again I’m not the type of girl you call more than a friend I bet she acts so perfectly You probably eat up every word she says And if you ever think of me I bet I’m just a flicker in your head But I still love you, I’m sorry, I’m sorry, I love you I didn’t mean to say what I said I miss you, I mean it, I tried not to feel it But I can’t get you out of my head And I want you to miss me, when I’m not around you I know that you’re in town Oh won't you come around to the spot that we met I’m not the type of girl for you And I’m not going to pretend That I’m the type of girl you call more than a friend And I'd break all the rules for you Break my heart and start again I’m not the type of girl you call more than a friend I’ll make time for you (time for you) I’ll make time for you (time for you) I love you, I’m sorry, I’m sorry, I love you I didn’t mean to say what I said I miss you, I mean it, I tried not to feel it But I can’t get you out of my head I’m not the type of girl for you And I’m not going to pretend That I’m the type of girl you call more than a friend And I'd break all the rules for you Break my heart and start again I’m not the type of girl you call more than a friend I’ll make time for you (time for you) I’ll make time for you (time for you) I’ll make time for you (time for you) I’ll make time for you (time for you)
19	Emotion	2015	Run Away With Me	You're stuck in my head Stuck on my heart Stuck in my body, body I wanna go Get outta here I'm sick of the party, party I'd run away I'd run away with you This is the part You gotta say All that you're feeling, feeling Packing a bag Leaving tonight While everyone's sleeping, sleeping Let's run away I'll run away with you 'Cause you make me feel like I could be driving you all night And I'll find your lips in the streetlights I wanna be there with you, ooh Baby, take me to the feeling I'll be your sinner in secret When the lights go out Run away with me, run away with me Baby, every single minute I'll be your hero and win it When the lights go out Run away with me, run away with me Up in the clouds High as a kite Over the city, city We never sleep We never try When you are with me, with me I wanna stay I wanna stay here with you, ooh 'Cause you make me feel like I could be driving you all night And I'll find your lips in the streetlights I wanna be there with you, ooh Baby, take me to the feeling I'll be your sinner in secret When the lights go out Run away with me, run away with me Baby, every single minute I'll be your hero and win it When the lights go out Run away with me, run away with me Hold on to me, I never wanna let you go, ooh Over the weekend we could turn the world to gold, ooh Hold on to me, I never wanna let you go, ooh Over the weekend we could turn the world to gold My baby, take me to the feeling (take me to, take me to it) I'll be your sinner, in secret (oh, when the lights go) When the lights go out Run away with me (just run away) Run away with me (with me) (Oh, yeah yeah) baby Every single minute I'll be your hero and win it When the lights go out Run away with me, run away with me Run away with me, run away with me Run away with me, run away with me
